TOTAL SECONDS (X): 1209600
1209600, 50%
1162165, 51%
1116554, 52%
1072664, 53%
1030400, 54%
989673, 55%
950400, 56%
912505, 57%
875917, 58%
840569, 59%
806400, 60%
773351, 61%
741368, 62%
710400, 63%
680400, 64%
651323, 65%
623127, 66%
595773, 67%
569224, 68%
543443, 69%
518400, 70%
494062, 71%
470400, 72%
447386, 73%
424995, 74%
403200, 75%
381979, 76%
361309, 77%
341169, 78%
321539, 79%
302400, 80%
283733, 81%
265522, 82%
247749, 83%
230400, 84%
213459, 85%
196912, 86%
180745, 87%
164945, 88%
149501, 89%
134400, 90%
119631, 91%
105183, 92%
91045, 93%
77209, 94%
63663, 95%
50400, 96%
37410, 97%
24686, 98%
12218, 99%
1211, 99.9%
