86400, 1%
43919, 2%
29035, 3%
21450, 4%
16852, 5%
13767, 6%
11553, 7%
9888, 8%
8589, 9%
7548, 10%
6695, 11%
5983, 12%
5381, 13%
4863, 14%
4415, 15%
4022, 16%
3675, 17%
3366, 18%
3090, 19%
2842, 20%
2617, 21%
2412, 22%
2225, 23%
2054, 24%
1896, 25%
1750, 26%
1615, 27%
1490, 28%
1374, 29%
1265, 30%
1163, 31%
1067, 32%
977, 33%
893, 34%
813, 35%
738, 36%
667, 37%
599, 38%
535, 39%
475, 40%
417, 41%
362, 42%
309, 43%
259, 44%
211, 45%
165, 46%
121, 47%
79, 48%
39, 49%
0, 50%
531330, 0.1%
1072887, 0.01%
