677376, 51%
663552, 52%
649728, 53%
635904, 54%
622080, 55%
608256, 56%
594432, 57%
580608, 58%
566784, 59%
552960, 60%
539136, 61%
525312, 62%
511488, 63%
497664, 64%
483840, 65%
470016, 66%
456192, 67%
442368, 68%
428544, 69%
414720, 70%
400896, 71%
387072, 72%
373248, 73%
359424, 74%
345600, 75%
331776, 76%
317952, 77%
304128, 78%
290304, 79%
276480, 80%
262656, 81%
248832, 82%
235008, 83%
221184, 84%
207360, 85%
193536, 86%
179712, 87%
165888, 88%
152064, 89%
138240, 90%
124416, 91%
110592, 92%
96768, 93%
82944, 94%
69120, 95%
55296, 96%
41472, 97%
27648, 98%
13824, 99%
1382, 99.9%
