1185408, 51%
1161216, 52%
1137024, 53%
1112832, 54%
1088640, 55%
1064448, 56%
1040256, 57%
1016064, 58%
991872, 59%
967680, 60%
943488, 61%
919296, 62%
895104, 63%
870912, 64%
846720, 65%
822528, 66%
798336, 67%
774144, 68%
749952, 69%
725760, 70%
701568, 71%
677376, 72%
653184, 73%
628992, 74%
604800, 75%
580608, 76%
556416, 77%
532224, 78%
508032, 79%
483840, 80%
459648, 81%
435456, 82%
411264, 83%
387072, 84%
362880, 85%
338688, 86%
314496, 87%
290304, 88%
266112, 89%
241920, 90%
217728, 91%
193536, 92%
169344, 93%
145152, 94%
120960, 95%
96768, 96%
72576, 97%
48384, 98%
24192, 99%
2419, 99.9%
