TOTAL SECONDS (X): 1209600
1209600, 50%
758608, 51%
546399, 52%
423027, 53%
342364, 54%
285504, 55%
243266, 56%
210652, 57%
184710, 58%
163581, 59%
146041, 60%
131246, 61%
118599, 62%
107663, 63%
98114, 64%
89703, 65%
82238, 66%
75569, 67%
69574, 68%
64156, 69%
59235, 70%
54747, 71%
50636, 72%
46857, 73%
43371, 74%
40145, 75%
37152, 76%
34367, 77%
31769, 78%
29339, 79%
27063, 80%
24925, 81%
22915, 82%
21019, 83%
19230, 84%
17538, 85%
15935, 86%
14415, 87%
12972, 88%
11599, 89%
10293, 90%
9047, 91%
7858, 92%
6722, 93%
5636, 94%
4596, 95%
3600, 96%
2645, 97%
1728, 98%
847, 99%
83, 99.9%
