0, 10%
1, 9.7383722%
2, 9.4886365%
3, 9.2500001%
4, 9.0217393%
5, 8.8031916%
6, 8.5937502%
7, 8.3928573%
8, 8.2000002%
9, 8.0147061%
10, 7.8365387%
11, 7.6650945%
12, 7.5000002%
13, 7.3409093%
14, 7.1875002%
15, 7.0394739%
16, 6.896552%
17, 6.7584748%
18, 6.6250002%
19, 6.4959019%
20, 6.370968%
21, 6.2500002%
22, 6.1328127%
23, 6.019231%
24, 5.9090911%
25, 5.8022391%
26, 5.6985296%
27, 5.5978263%
28, 5.5000002%
29, 5.4049298%
30, 5.3125002%
31, 5.222603%
32, 5.1351354%
33, 5.0500002%
34, 4.9671055%
35, 4.8863639%
36, 4.8076925%
37, 4.7310129%
38, 4.6562502%
39, 4.5833336%
40, 4.5121953%
41, 4.4427713%
42, 4.3750002%
43, 4.3088238%
44, 4.2441863%
45, 4.1810347%
46, 4.1193184%
47, 4.058989%
48, 4.0000002%
49, 3.9423079%
50, 3.8858698%
51, 3.8306454%
52, 3.776596%
53, 3.7236844%
54, 3.6718752%
55, 3.6211342%
56, 3.5714288%
57, 3.5227275%
58, 3.4750002%
59, 3.428218%
60, 3.3823531%
61, 3.3373788%
62, 3.2932694%
63, 3.2500002%
64, 3.2075473%
65, 3.165888%
66, 3.1250002%
67, 3.0848626%
68, 3.0454547%
69, 3.0067569%
70, 2.9687502%
71, 2.9314161%
72, 2.894737%
73, 2.8586958%
74, 2.823276%
75, 2.7884617%
76, 2.7542374%
77, 2.7205884%
78, 2.6875001%
79, 2.6549588%
80, 2.622951%
81, 2.5914636%
82, 2.560484%
83, 2.5300001%
84, 2.5000001%
85, 2.4704726%
86, 2.4414064%
87, 2.4127908%
88, 2.3846155%
89, 2.3568704%
90, 2.3295456%
91, 2.3026317%
92, 2.2761195%
93, 2.2500001%
94, 2.2242648%
95, 2.1989052%
96, 2.1739132%
97, 2.1492807%
98, 2.1250001%
99, 2.1010639%
100, 2.0774649%
101, 2.0541959%
102, 2.0312501%
103, 2.0086208%
104, 1.9863015%
105, 1.9642858%
106, 1.9425677%
107, 1.921141%
108, 1.9000001%
109, 1.8791392%
110, 1.8585527%
111, 1.8382354%
112, 1.8181819%
113, 1.7983872%
114, 1.7788462%
115, 1.7595542%
116, 1.7405064%
117, 1.7216982%
118, 1.7031251%
119, 1.6847827%
120, 1.6666667%
121, 1.6487731%
122, 1.6310976%
123, 1.6136364%
124, 1.5963856%
125, 1.5793414%
126, 1.5625001%
127, 1.5458581%
128, 1.5294118%
129, 1.513158%
130, 1.4970931%
131, 1.4812139%
132, 1.4655173%
133, 1.4500001%
134, 1.4346591%
135, 1.4194916%
136, 1.4044944%
137, 1.3896649%
138, 1.3750001%
139, 1.3604973%
140, 1.3461539%
141, 1.3319673%
142, 1.3179348%
143, 1.3040541%
144, 1.2903226%
145, 1.276738%
146, 1.2632979%
147, 1.25%
148, 1.2368421%
149, 1.223822%
150, 1.2109375%
151, 1.1981866%
152, 1.185567%
153, 1.173077%
154, 1.1607143%
155, 1.1484772%
156, 1.1363637%
157, 1.1243719%
158, 1.1125%
159, 1.1007463%
160, 1.0891089%
161, 1.0775862%
162, 1.0661765%
163, 1.0548781%
164, 1.0436893%
165, 1.0326087%
166, 1.0216346%
167, 1.0107656%
168, 1%
169, 0.9893365%
170, 0.9787736%
171, 0.9683099%
172, 0.9579439%
173, 0.9476744%
174, 0.9375%
175, 0.9274194%
176, 0.9174312%
177, 0.9075343%
178, 0.8977273%
179, 0.8880091%
180, 0.8783784%
181, 0.8688341%
182, 0.859375%
183, 0.85%
184, 0.840708%
185, 0.8314978%
186, 0.8223684%
187, 0.8133188%
188, 0.8043478%
189, 0.7954545%
190, 0.7866379%
191, 0.777897%
192, 0.7692308%
193, 0.7606383%
194, 0.7521186%
195, 0.7436709%
196, 0.7352941%
197, 0.7269874%
198, 0.71875%
199, 0.7105809%
200, 0.7024793%
201, 0.6944444%
202, 0.6864754%
203, 0.6785714%
204, 0.6707317%
205, 0.6629555%
206, 0.6552419%
207, 0.6475903%
208, 0.64%
209, 0.6324701%
210, 0.625%
211, 0.6175889%
212, 0.6102362%
213, 0.6029412%
214, 0.5957031%
215, 0.5885214%
216, 0.5813953%
217, 0.5743243%
218, 0.5673077%
219, 0.5603448%
220, 0.5534351%
221, 0.5465779%
222, 0.5397727%
223, 0.5330188%
224, 0.5263158%
225, 0.5196629%
226, 0.5130597%
227, 0.5065055%
228, 0.5%
229, 0.4935424%
230, 0.4871323%
231, 0.4807692%
232, 0.4744525%
233, 0.4681818%
234, 0.4619565%
235, 0.4557761%
236, 0.4496402%
237, 0.4435483%
238, 0.4375%
239, 0.4314946%
240, 0.4255319%
241, 0.4196113%
242, 0.4137324%
243, 0.4078947%
244, 0.4020979%
245, 0.3963414%
246, 0.390625%
247, 0.3849481%
248, 0.3793103%
249, 0.3737113%
250, 0.3681506%
251, 0.3626279%
252, 0.3571428%
253, 0.3516949%
254, 0.3462837%
255, 0.340909%
256, 0.3355704%
257, 0.3302675%
258, 0.3249999%
259, 0.3197674%
260, 0.3145695%
261, 0.3094059%
262, 0.3042763%
263, 0.2991803%
264, 0.2941176%
265, 0.2890879%
266, 0.2840909%
267, 0.2791262%
268, 0.2741935%
269, 0.2692925%
270, 0.264423%
271, 0.2595846%
272, 0.254777%
273, 0.2499999%
274, 0.2452531%
275, 0.2405362%
