TOTAL SECONDS (X): 1209600
1162165, 1%
1116554, 2%
1072664, 3%
1030400, 4%
989673, 5%
950400, 6%
912505, 7%
875917, 8%
840569, 9%
806400, 10%
773351, 11%
741368, 12%
710400, 13%
680400, 14%
651323, 15%
623127, 16%
595773, 17%
569224, 18%
543443, 19%
518400, 20%
494062, 21%
470400, 22%
447386, 23%
424995, 24%
403200, 25%
381979, 26%
361309, 27%
341169, 28%
321539, 29%
302400, 30%
283733, 31%
265522, 32%
247749, 33%
230400, 34%
213459, 35%
196912, 36%
180745, 37%
164945, 38%
149501, 39%
134400, 40%
119631, 41%
105183, 42%
91045, 43%
77209, 44%
63663, 45%
50400, 46%
37410, 47%
24686, 48%
12218, 49%
1204771, 0.1%
1209116, 0.01%
